StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,ID,IRI_4,IRI_5,IRI_6,IRI_7,IRI_8,IRI_9,IRI_32,IRI_10,IRI_11,IRI_3,IRI_12,IRI_13,IRI_14,IRI_15,IRI_16,IRI_18,IRI_19,IRI_20,IRI_21,IRI_22,IRI_23,IRI_24,IRI_25,IRI_27,IRI_28,IRI_29,IRI_30,IRI_31,BES_21,BES_20,BES_22,BES_23,BES_24,BES_25,BES_26,BES_27,BES_28,BES_29,BES_30,BES_31,BES_32,BES_33,BES_34,BES_35,BES_36,BES_37,BES_38,BES_39,ASRM_1,ASRM_2,ASRM_3,ASRM_4,ASRM_5,BDISF_1,BDISF_21,BDISF_3,BDISF_4,BDISF_5,BDISF_6,BDISF_7,BDISF_8,BDISF_9,BDISF_10,BDISF_11,BDISF_12,BDISF_13,STAI_1,STAI_2,STAI_3,STAI_4,STAI_5,STAI_6,Q83_1,Q83_2,Q83_3,Q83_4,Q83_5,Q83_6,Q83_7,Q83_8,Q83_9,Q83_10,Q83_11,Q83_12,Q84,Q85,Q86,SAS_intro1,SAS_intro2,SAS_intro3,SAS1,SAS2,SAS3,SAS4,SAS5,SAS6,SAS7,SAS8,SAS9,SAS10,SAS11,SAS12,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Where_Live,Age,Ethnicity,Ethnicity_6_TEXT,Gender,Education,Income,Employment,Living_Arr,Living_Arr_6_TEXT,Marital_St,Children,SES
5/14/17 13:03,5/14/17 13:16,0,24.34.96.229,100,771,1,5/14/17 13:16,R_1Hjgrf4X6a4BbAZ,,,,,42.17329407,-72.77149963,anonymous,201_Y,3,5,1,3,5,1,1,5,5,5,5,1,5,4,2,4,2,2,5,5,5,5,5,1,5,5,1,5,5,2,1,3,2,5,3,4,1,1,2,1,4,1,2,1,3,4,5,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,4,1,1,3,4,1,1,1,2,1,2,1,1,1,1,1,1,1,4-Feb,0,0,1,1,1,2,1,2,2,1,5,,,,,,,,,,,,,,3,2,2,2,1,1,1,2,3,2,,,1,1,2,1,2,1,1,1,1,1,2,4,2,1,1,3,5,6,5,2,,,,,1,1,2,3,3,Venus,25,1,,2,13,4,1,2,,2,0,7
5/16/17 23:50,5/17/17 0:09,0,172.58.62.241,100,1135,1,5/17/17 0:09,R_2arwbtgJIcBT4JN,,,,,39.73919678,-104.9847031,anonymous,191_B,5,4,2,4,4,3,3,4,5,4,5,2,3,4,4,2,4,2,3,3,4,4,2,3,3,2,3,4,4,2,4,1,2,3,4,4,2,2,1,2,3,3,2,2,2,4,5,2,1,1,0,0,0,1,1,2,2,3,2,0,1,2,3,2,3,1,2,4,2,2,2,3,2,4,4,5,4,3,3,4,4,4,4,4,30,9,20,5,2,2,5,,,,,,,,,,,,,,,,,,,3,2,4,3,2,3,4,4,4,1,5,5,2,,,,,,,1,5,2,,,,,,,,,,2,,,,,1,4,4,2,4,Venus,28,1,,2,16,1,3,4,,2,0,7
5/22/17 10:19,5/22/17 10:30,0,98.216.74.88,100,639,1,5/22/17 10:30,R_2dR7lj8g6y8RBT3,,,,,42.09809875,-72.57740021,anonymous,55_Y,2,1,2,1,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,2,2,1,3,2,2,3,2,2,3,1,3,2,2,1,2,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1,2,1,7,7,7,1,2,2,6,,,,,,1,2,1,1,1,4,,,,,,,,4,3,4,1,2,1,1,1,1,1,5,5,2,,,,,,,1,1,2,,,,,,,,,,2,,,,,2,,,,1,venus,36,1,,1,14,2,2,1,,1,0,6
5/23/17 8:59,5/23/17 9:27,0,71.192.234.115,100,1670,1,5/23/17 9:27,R_3PXGzBLF8Jm5dD1,,,,,42.22380066,-72.64089966,anonymous, 324_Y,4,5,3,2,4,2,1,1,5,5,4,1,3,1,3,5,5,1,5,5,3,5,5,2,2,5,1,3,4,3,1,2,1,5,5,4,1,1,1,1,4,1,3,1,1,5,5,5,1,1,0,0,2,1,1,1,1,1,1,0,0,2,3,2,2,0,4,1,2,3,2,3,4,4,1,4,5,3,3,1,1,1,1,4,30,2,28,3,2,2,5,,,,,,1,3,4,1,3,4,2,1,4,5,1,5,1,1,1,3,4,1,1,2,1,1,2,,,1,1,3,3,4,1,1,5,2,1,2,3,2,1,4,1,5,6,5,2,,,,,1,5,1,5,5,Venus,45,1,,2,16,1,4,2,,3,0,9
5/23/17 12:58,5/23/17 13:12,0,71.233.153.213,100,849,1,5/23/17 13:12,R_9GoanDiGdpDMXXb,,,,,41.30940247,-72.9240036,anonymous,154_Y,5,5,2,2,5,1,2,3,5,2,4,1,2,5,3,5,2,1,4,5,2,5,3,1,3,5,1,3,5,2,2,3,3,5,5,5,2,3,3,3,4,1,4,1,3,5,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,2,3,2,4,4,1,2,2,2,5,3,2,1,2,1,4 days,2-3 times,7-8 days,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,3,4,5,3,1,1,1,2,1,2,5,5,1,1,2,3,2,1,2,3,2,1,4,1,1,2,3,2,4,1,2,2,,,,,1,2,4,2,2,Venus,341,6,Human,1,16,4,2,2,,4,0,6
5/23/17 18:00,5/23/17 18:19,0,24.177.84.219,100,1152,1,5/23/17 18:19,R_1FG8rcgYrl05TqY,,,,,41.94810486,-73.09449768,anonymous,7_Y,4,2,2,2,3,4,2,4,4,3,4,2,3,2,3,2,2,4,,4,4,4,2,2,4,3,2,4,2,2,2,2,2,4,5,5,2,2,3,2,4,2,3,2,2,4,4,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,2,2,1,1,3,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,4,2,3,1,,,,,,,,,,3,2,3,3,1,2,1,2,2,1,4,4,1,1,1,2,3,1,2,2,1,2,,,,,,,,,,1,1,2,1,1,1,2,2,1,2,"Winsted, CT",3o,1,,2,18,3,1,6,With parents and daughter,5,1,3
5/24/17 5:38,5/24/17 5:58,0,75.67.232.78,100,1204,1,5/24/17 5:58,R_1KP8ZSuxdoIkp4l,,,,,42.74099731,-71.31610107,anonymous,248_Y,2,4,1,3,2,4,2,5,4,,5,4,3,2,2,4,3,4,5,3,5,4,4,1,4,4,1,4,4,2,1,5,1,4,5,4,5,2,1,1,5,1,2,1,1,5,5,5,3,1,0,0,3,0,0,0,0,0,0,0,1,0,1,1,1,0,4,1,1,3,4,1,1,1,1,1,2,1,2,1,1,1,1,1,30,0,30,4,2,2,1,1,1,2,2,1,1,1,1,2,1,1,,,,,,,,3,2,2,3,2,2,1,1,1,1,5,5,1,1,2,1,2,1,1,1,1,2,1,3,3,2,2,1,5,6,2,2,,,,,1,2,2,2,2,venus,62,1,,2,18,3,5,1,,5,2,8
5/24/17 9:12,5/24/17 9:26,0,98.118.123.19,100,838,1,5/24/17 9:26,R_2OVJJLbwlSJdDow,,,,,42.42469788,-71.11119843,anonymous,245_Y,3,4,5,4,4,4,2,2,5,5,4,1,2,1,4,3,4,1,2,4,2,4,4,3,2,3,3,2,5,4,5,3,5,2,1,1,5,5,5,5,1,4,3,5,5,1,1,1,0,0,1,0,1,2,0,0,1,1,1,0,1,1,1,1,1,1,3,2,1,2,2,2,2,2,1,3,3,2,1,1,2,3,2,2,15,2,13,1,1,1,2,2,2,1,3,2,,,,,,,,,,,,,,2,2,1,2,1,2,2,4,3,1,2,2,1,2,3,2,3,2,2,3,3,2,,,,,,,,,,2,,,,,1,2,3,5,1,Venus,25,1,,2,16,3,1,4,,2,0,6
5/24/17 18:39,5/24/17 19:04,0,50.0.117.146,100,1532,1,5/24/17 19:04,R_pLrVI638xdsRa5X,,,,,37.77490234,-122.4194031,anonymous,386_Y,5,3,1,2,5,2,1,5,4,4,5,1,5,2,3,5,2,2,5,4,5,3,5,1,4,5,1,2,4,1,1,3,2,5,4,5,1,1,2,1,4,,5,1,3,4,4,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,4,4,1,1,1,1,1,2,1,1,1,3,2,1,2,10,0,5,1,1,1,2,1,1,2,1,2,,,,,,,,,,,,,,1,1,1,1,2,1,2,1,1,2,,,1,1,1,1,2,1,3,1,1,1,2,1,2,1,2,1,2,1,1,2,,,,,1,1,1,1,1,Venus,26,"1,2,5",,2,16,6,1,2,,3,0,3
6/1/17 21:27,6/1/17 21:49,0,24.47.154.166,100,1312,1,6/1/17 21:49,R_2wdkm3LwDr5QZVu,,,,,40.90640259,-74.665802,anonymous,263_Y,3,3,3,1,3,4,1,4,3,4,5,1,2,1,1,1,4,1,3,5,4,4,4,3,4,3,2,4,3,3,2,2,2,4,3,4,1,2,1,2,4,2,2,2,3,4,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,4,4,2,1,1,1,1,1,1,1,1,1,3,1,3,3,0,0,1,1,1,1,1,2,1,2,4,,,,,,,,,,,,,,2,2,1,1,1,1,2,1,1,1,5,4,1,1,2,1,4,2,2,1,2,2,,,,,,,,,,2,,,,,2,3,1,,1,Venus,37,1,,2,16,2,1,1,,1,0,5
6/4/17 19:37,6/4/17 19:51,0,140.180.240.190,100,856,1,6/4/17 19:51,R_3isOn3Sh6pMJupI,,,,,40.37559509,-74.65969849,anonymous,223_Y,2,4,2,3,4,2,3,4,4,1,4,2,4,2,2,2,2,2,4,4,4,2,3,1,4,3,2,4,2,4,1,2,4,4,3,3,2,2,3,2,3,2,4,2,4,3,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,3,2,1,2,1,1,1,1,1,1,1,2,1,1,3,0,0,3,2,1,4,1,1,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1,2,1,3,1,2,2,2,1,2,2,,,,,1,2,2,1,1,venus,27,1,,2,18,5,4,2,,4,0,3
6/14/17 18:28,6/14/17 19:05,0,65.96.75.90,100,2210,1,6/14/17 19:05,R_2D6JOb8RWK33uJO,,,,,41.30940247,-72.9240036,anonymous,37_Y,3,5,2,3,1,5,4,4,4,1,5,5,2,1,4,4,2,1,3,3,4,3,3,3,3,3,3,3,5,3,1,3,5,,5,5,3,5,3,1,4,5,5,1,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,4,1,1,1,5,1,1,1,1,1,1,1,4,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,2,1,2,2,1,1,4,1,1,2,1,1,1,2,,,,,,,,,,2,,,,,2,,,,1,Venus,44,2,,2,18,4,1,1,,1,0,3
6/14/17 21:58,6/14/17 22:37,0,24.218.137.110,100,2382,1,6/14/17 22:37,R_3qwf8P8fAfk0ZwP,,,,,41.30940247,-72.9240036,anonymous,207_Y,1,1,1,2,1,3,5,5,3,3,3,5,5,5,4,1,5,3,5,1,5,5,1,1,2,1,1,3,3,3,3,5,3,5,3,3,3,1,5,5,4,1,3,3,3,3,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,5,0,0,1,2,1,6,,1,2,3,4,2,1,1,2,2,3,,,,,,,,1,4,1,2,1,1,2,3,2,2,,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,,,,,1,2,1,1,5,venus,34,1,,2,15,1,2,2,,4,3,6
6/14/17 22:15,6/14/17 22:38,0,192.222.11.93,100,1394,1,6/14/17 22:38,R_wZtabJP27FyJBi9,,,,,41.78900146,-71.85520172,anonymous,249_Y,3,2,1,3,1,4,3,5,4,4,4,4,2,3,2,3,4,1,4,3,5,3,3,1,4,3,1,4,2,2,1,3,3,3,4,4,2,3,2,2,3,2,2,2,3,4,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,4,1,1,4,4,1,1,1,1,1,2,1,1,1,1,2,1,2,15-Oct,2,10,1,1,1,2,2,1,1,3,4,,,,,,,,,,,,,,3,2,2,3,1,2,2,1,1,2,,,1,1,4,3,2,1,1,1,1,2,1,1,2,1,3,1,2,2,1,2,,,,,2,6,,,2,Venus,30,1,,1,18,3,1,4,,2,0,7
6/15/17 7:51,6/15/17 8:12,0,64.251.54.130,100,1252,1,6/15/17 8:12,R_2wSUBs7BHKSLRsC,,,,,41.79110718,-72.25340271,anonymous,269_Y,3,4,1,3,2,1,4,5,5,1,5,3,5,3,3,1,1,1,5,3,4,3,1,1,3,3,1,4,4,3,2,5,3,5,3,5,4,2,4,1,4,1,4,1,3,3,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,3,1,1,3,1,1,1,1,1,2,,,1,2,2,2,1,1,1,1,4,1,1,1,1,1,2,1,4,1,1,2,,,,,1,1,1,1,2,Venus,38,1,,1,19,5,1,3,,4,2,7
6/15/17 12:53,6/15/17 13:03,0,130.132.173.120,100,620,1,6/15/17 13:03,R_efaM91VhTFBgoJr,,,,,41.30940247,-72.9240036,anonymous,332_Y,4,5,1,1,4,5,1,5,5,4,5,2,2,1,1,3,5,1,3,5,5,4,4,2,5,5,2,5,5,1,1,1,2,5,5,5,1,1,1,1,5,1,1,1,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,2,1,1,1,2,4,,,,,,,,,,,,,,3,2,2,2,1,1,2,2,2,2,,,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,,,,,1,2,1,1,1,Venus ,28,1,,2,16,6,1,2,,4,0,4
6/15/17 14:46,6/15/17 15:20,0,92.239.30.46,100,1992,1,6/15/17 15:20,R_2fdNwLLcxSL8ijN,,,,,55.86599731,-3.980300903,anonymous,33_Y,3,1,3,5,2,1,4,3,3,2,2,4,5,5,4,2,2,4,5,2,3,3,2,1,2,2,1,2,4,2,5,4,1,4,3,4,1,1,3,1,4,1,5,1,2,4,5,5,0,0,0,0,0,1,1,0,1,0,1,0,1,2,2,2,2,1,2,1,2,1,1,1,2,4,2,2,4,2,3,1,1,1,2,3,30,1,29,1,1,1,1,2,2,3,3,3,,,,,,,,,,,,,,3,2,2,4,2,2,2,2,1,2,,,1,2,1,1,2,1,1,2,2,1,3,3,2,2,1,3,4,1,3,2,,,,,1,2,2,3,1,Venus,32,1,,2,20,5,1,2,,4,0,4
6/15/17 15:43,6/15/17 15:51,0,199.255.55.9,100,530,1,6/15/17 15:51,R_3fkQv3NTKrdrUSq,,,,,42.53239441,-70.97360229,anonymous,69_Y,3,4,2,2,5,2,2,3,4,4,4,2,3,2,4,4,3,2,4,4,4,4,3,2,2,2,2,3,3,2,2,1,2,4,4,4,3,3,1,1,4,2,4,1,2,4,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,1,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,3,2,1,3,2,2,2,2,2,2,,,1,1,2,2,2,1,1,1,1,2,,,,,,,,,,2,,,,,2,,,,2,Venus,34,1,,2,20,4,1,1,,2,0,3
6/15/17 16:09,6/15/17 16:27,0,108.183.35.156,100,1071,1,6/15/17 16:27,R_11iRM5jDnWJgbDI,,,,,42.05090332,-75.88909912,anonymous,116_Y,1,4,3,3,3,2,4,3,5,4,3,4,4,1,4,1,2,1,5,5,4,5,1,1,1,1,1,2,3,3,1,2,2,5,4,4,1,1,3,2,4,1,4,1,2,5,5,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,4,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,1,1,1,2,1,1,2,2,,,,,,,1,6,2,1,1,1,3,4,2,5,2,1,1,2,2,2,2,,,1,1,5,4,1,1,1,1,2,1,2,1,1,1,3,2,2,1,1,2,,,,,1,1,1,1,1,Venus,30,1,,2,17,2,2,2,,3,0,4
6/15/17 21:06,6/15/17 21:21,0,45.36.251.81,100,853,1,6/15/17 21:21,R_3qeVbWgHg3lIg6I,,,,,36.00740051,-79.87319946,anonymous,214_Y,3,3,1,3,4,2,3,4,3,2,4,2,2,2,2,2,2,2,4,3,4,3,4,1,4,3,2,4,4,2,1,1,2,5,3,4,1,1,2,2,4,1,4,1,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,1,1,1,2,2,2,2,1,,,,,,,1,1,1,1,1,1,1,1,2,2,2,1,3,1,1,1,2,,,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,,,,,1,1,1,1,2,Venus,28,1,,2,20,2,1,2,,3,0,5
